Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
60,0,0,1,0,726.36,1213,1170.9,36343,33747,34029
60,1,0,0,0,1094.5,714.39,736.47,34375,36409,36294
40,1,0,0,0,1331.5,716.01,732.37,33254,36406,36311
60,1,0,0,0,799.19,724.4,725.5,36018,36358,36356
80,0,0,1,0,726.52,762.36,764.49,36348,36170,36158
15,1,0,0,0,2750.4,701.3,717.57,25603,36494,36381
10,0,0,1,0,717.37,1493.4,1598.9,36387,34160,33795
30,0,0,0,1,1244.6,1244.6,1244.6,34308,34309,34307
85,1,0,0,0,754.18,724.53,725.38,36207,36357,36355
45,0,1,0,0,723.35,798.53,913.67,36366,36229,35407
40,1,0,0,0,1447.2,712.2,731.64,32510,36429,36311
65,1,0,0,0,991.7,720.42,734.38,34948,36372,36312
90,1,0,0,0,836.42,713.96,743.42,35739,36404,36259
65,0,0,1,0,726.51,786.24,793.09,36347,36070,36041
60,0,0,0,1,949.7,949.7,949.7,35280,35282,35276
35,0,0,0,1,1590.3,1590.3,1590.3,32166,32164,32166
70,0,1,0,0,723.33,939.89,940.54,36367,35365,35182
45,1,0,0,0,1241.5,717.24,732.85,33691,36389,36317
15,1,0,0,0,2524.1,698.9,726.74,27310,36499,36334
15,0,1,0,0,723.37,739.66,907,36364,36599,35531
55,0,0,0,1,1190.6,1190.6,1190.6,33975,33976,33971
55,0,0,1,0,725.4,1293.7,1257.5,36348,33330,33574
35,1,0,0,0,864.18,722.34,726.16,35817,36371,36348
70,0,0,1,0,727.67,802.86,812.95,36342,35986,35925
30,1,0,0,0,1225.7,717.47,730.13,34209,36394,36328
25,0,1,0,0,723.39,1917.8,1985.3,36365,31926,29774
55,0,1,0,0,723.38,1073,1112,36364,34890,34279
30,0,1,0,0,723.38,744.3,860.59,36365,36446,35714
30,0,0,1,0,724.38,827.53,835.42,36358,35988,35962
90,1,0,0,0,836.56,714.34,743.18,35738,36402,36261
90,0,0,1,0,732.56,829.77,822.49,36312,35790,35817
10,0,1,0,0,723.37,2127.7,2441.4,36364,34733,27544
20,0,0,1,0,707.22,2640.9,2629.3,36445,26309,26512
60,1,0,0,0,930.8,723.38,729.82,35341,36362,36333
55,0,1,0,0,723.38,786.91,865.58,36364,36189,35634
20,1,0,0,0,2306.3,705.39,721.72,27960,36463,36364
75,0,1,0,0,723.43,962.45,914.38,36365,35168,35341
50,0,0,1,0,725.45,791.87,798.58,36353,36077,36042
30,0,1,0,0,723.38,818.28,1000.1,36365,36367,35025
40,0,0,0,1,920.42,920.43,920.43,35578,35579,35577
45,0,0,1,0,726.28,882.53,913.12,36348,35701,35549
10,0,0,1,0,704.75,2393.5,2698.3,36451,30406,28401
50,1,0,0,0,876.82,723.57,726.88,35680,36362,36347
90,0,0,1,0,725.67,743.11,742.88,36352,36262,36261
80,0,0,0,1,832.58,832.57,832.58,35801,35802,35799
55,0,0,0,1,1341,1341,1341,33077,33078,33072
10,1,0,0,0,1093.3,715.36,729.88,35359,36406,36325
40,0,0,1,0,721.07,1642.4,1614.6,36372,31514,31730
15,1,0,0,0,864.54,720.21,726.55,35941,36379,36348
15,1,0,0,0,927.44,719.11,727.47,35753,36385,36343
40,0,0,0,1,1127,1127,1127,34627,34628,34626
25,0,0,0,1,2427.9,2427.9,2427.9,27314,27313,27312
15,0,0,1,0,722.29,1040.6,1072.8,36365,35419,35333
40,1,0,0,0,1408.8,713.92,732.54,32743,36418,36308
30,1,0,0,0,1567.5,712.5,731.37,32155,36421,36318
50,0,0,1,0,725.61,1297.9,1339.9,36348,33427,33071
90,0,1,0,0,723.37,826.7,791.57,36365,35832,35975
85,1,0,0,0,746.92,724.34,724.85,36244,36359,36358
50,0,1,0,0,723.39,759.77,836.04,36365,36299,35800
55,0,1,0,0,723.38,1271.6,1158.5,36364,33579,34272
45,0,0,0,1,834.35,834.34,834.35,35911,35911,35912
30,0,0,1,0,724.51,868.39,884.72,36357,35840,35778
85,0,0,1,0,730.8,922.65,880.35,36318,35281,35522
80,1,0,0,0,819.61,724.58,729.51,35864,36351,36338
25,1,0,0,0,895.12,720.92,726.67,35763,36375,36347
90,1,0,0,0,741.74,724.17,724.91,36268,36359,36357
