Distance,LG,LL,LLG,LLL,None,Bus,Ia,Ib,Ic,Va,Vb,Vc
75,0,0,0,1,0,3,242,242,242,3030.5,3030.5,3030.5
70,0,0,0,1,0,2,218.69,218.69,218.69,6867.7,6867.7,6867.7
30,0,1,0,0,0,2,67.552,308.34,294.65,7707,5216.5,6433.4
55,0,1,0,0,0,2,67.552,139.72,139.87,7707.1,6975.8,7075.6
35,0,1,0,0,0,2,67.552,91.287,101.37,7707.3,7476.6,7360.9
35,1,0,0,0,0,3,656.62,701.26,702.44,5876.7,6162.5,6167.3
35,0,0,0,0,1,2,67.55,67.55,67.55,7707,7707,7707
25,0,0,1,0,0,2,64.186,196.72,222.96,7765,6394.6,6020
40,0,0,1,0,0,1,720.98,1647.8,1613,36373,31477,31754
85,0,1,0,0,0,3,701.03,717.78,620.49,6149.4,6372.4,5621.8
30,0,0,1,0,0,2,65.242,356.89,376,7701.2,5250.3,5912.9
45,0,0,0,1,0,2,242.39,242.39,242.39,6000.6,6000.4,6000.6
40,0,1,0,0,0,3,701.03,705.57,616.64,6149.4,6280.3,5580.7
45,1,0,0,0,0,3,221.98,692.05,708.8,2420.4,6034.6,6318.5
35,0,0,1,0,0,3,703.02,648.79,639.01,6188.1,5840.8,5781.3
65,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
15,0,0,1,0,0,1,718.88,1395,1521,36381,34212,33666
20,0,1,0,0,0,3,701.02,466.54,292.96,6149.4,4710.2,2734.6
75,0,0,1,0,0,2,66.915,196.5,188.24,7697,6831.1,7343.2
85,0,0,1,0,0,1,732.04,891.04,877.99,36313,35461,35517
30,0,0,0,1,0,1,1732.7,1732.7,1732.7,31593,31595,31590
10,1,0,0,0,0,3,603.86,700.88,703.63,5472.7,6153.9,6187.5
50,0,0,0,1,0,1,1380.8,1380.8,1380.8,32899,32898,32898
90,0,0,1,0,0,1,733.09,856.07,838.2,36307,35640,35729
15,0,0,1,0,0,2,65.852,113.75,116.81,7743,7234.8,7181.1
25,0,1,0,0,0,3,701.02,692.67,621.65,6149.4,6173.7,5599
70,0,0,0,0,1,2,67.549,67.549,67.549,7707,7707,7707
90,0,0,0,1,0,3,330.48,330.48,330.48,3696.3,3696.3,3696.3
75,0,1,0,0,0,1,723.43,767.17,790.93,36365,36182,36005
45,1,0,0,0,0,1,1241.5,717.24,732.85,33691,36389,36317
50,1,0,0,0,0,2,97.023,67.279,67.487,7387,7704.2,7721.7
25,1,0,0,0,0,2,322.35,69.833,60.57,5413.1,7578.2,7887
70,1,0,0,0,0,3,274.4,689.41,704.13,3092.6,6040.6,6271.2
55,1,0,0,0,0,1,810.55,724.14,725.57,35976,36358,36354
80,0,1,0,0,0,3,701.03,715.98,641.03,6149.4,6337.2,5760
10,1,0,0,0,0,2,118.76,66.559,66.651,7164.2,7712.3,7742.9
45,0,0,0,1,0,3,664.92,664.92,664.92,5965.3,5965.3,5965.3
60,0,1,0,0,0,3,701.03,502.72,233.84,6149.4,4981.9,2308.1
65,1,0,0,0,0,2,175.33,65.789,68.801,6928.1,7676,7731.4
80,0,0,0,1,0,3,15.626,15.626,15.626,1324.7,1324.7,1324.7
75,1,0,0,0,0,3,674.98,698.91,703.15,6012.6,6145,6170.5
90,0,0,0,1,0,2,128.88,128.88,128.87,7187.1,7187,7187.1
65,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
45,0,0,0,1,0,2,276.59,276.59,276.59,5892.1,5891.9,5892.1
80,0,0,0,1,0,1,948.48,948.46,948.47,35149,35150,35145
70,0,0,0,1,0,1,1094.6,1094.6,1094.6,34380,34378,34381
90,0,1,0,0,0,3,701.03,364.93,336.9,6149.4,3937.5,2532.5
35,0,1,0,0,0,3,701.03,703.05,638.26,6149.4,6237.9,5725.4
80,1,0,0,0,0,1,902.46,714.5,740.51,35390,36399,36277
90,0,1,0,0,0,2,67.549,145.83,118.95,7707,6929.3,7585.7
10,0,1,0,0,0,1,723.37,765.01,995.14,36364,36734,35155
35,0,0,1,0,0,1,722.28,1453.2,1599.5,36366,33007,31871
80,0,0,1,0,0,2,67.209,186.96,177.92,7697.8,6917.5,7402
10,1,0,0,0,0,2,547.62,73.789,51.679,3588.4,7463.4,8083.1
15,0,0,1,0,0,3,702.91,81.85,215.38,6212.1,1770,1187.4
45,0,0,0,0,1,2,67.55,67.55,67.55,7707,7707,7707
20,0,0,1,0,0,2,63.455,435.63,470.06,7727.4,4417.1,4982.1
10,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
65,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
10,0,1,0,0,0,1,723.37,1189.9,1556.6,36364,36719,32512
30,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
65,0,0,1,0,0,3,694.49,161.16,175.22,6148.7,2419.4,1394.7
